,Fuzzy C-Means_hard,Fuzzy C-Means_R1_prob,Fuzzy C-Means_R2_prob,Fuzzy C-Means_R3_prob,Fuzzy C-Means_R4_prob,Modified K-Means_hard,Modified K-Means_R1_prob,Modified K-Means_R2_prob,Modified K-Means_R3_prob,Modified K-Means_R4_prob,Vanilla K-Means_hard,Vanilla K-Means_R1_prob,Vanilla K-Means_R2_prob,Vanilla K-Means_R3_prob,Vanilla K-Means_R4_prob,GMM_hard,GMM_R1_prob,GMM_R2_prob,GMM_R3_prob,GMM_R4_prob,Markov-Switching_hard,Markov-Switching_R1_prob,Markov-Switching_R2_prob,Markov-Switching_R3_prob,Markov-Switching_R4_prob
1962-07-01,1,0.24999998290990413,0.25000001280295175,0.2500000007006897,0.2500000035864544,2,0.024794184153762343,0.3081577748788447,0.3813372785942492,0.2857107623731438,2,0.2658797363595854,0.32009792010442134,0.3884567412734167,0.025565602262576606,3,4.3330285863733494e-55,3.3750832233914074e-23,6.722466153160192e-21,1.0,0,0.8410098126870393,0.018552120765272306,0.1403499257105063,8.814083718191887e-05
1962-08-01,1,0.24999999636555725,0.2500000027598199,0.25000000021165764,0.2500000006629652,2,0.02580571794191967,0.30408527221027604,0.34298549255219923,0.32712351729560507,2,0.29541399198795043,0.32157612765090027,0.3564113322553285,0.026598548105820758,3,4.546562664064448e-47,3.621709049295823e-13,1.087639909473606e-06,0.9999989123597235,0,0.8410098126870393,0.018552120765272306,0.1403499257105063,8.814083718191887e-05
1962-09-01,1,0.24999998643643837,0.2500000101984437,0.2500000006376895,0.25000000272742834,2,0.023363030062856824,0.30518321606465737,0.3694447588320626,0.30200899504042317,2,0.2678962927048902,0.32518326914514206,0.38285150452128375,0.024068933628684112,3,3.6992704464715833e-54,5.344946650676799e-21,1.6145381800768242e-07,0.9999998385461867,0,0.8713427506901584,0.006812894299311527,0.12184088049558747,3.4745149426022753e-06
1962-10-01,1,0.24999999918036603,0.2500000005914017,0.24999999993091188,0.25000000029732045,2,0.02952965900713865,0.3072066339024821,0.3374716470980208,0.32579205999235844,0,0.3406875973377917,0.29871860252552423,0.33119808477397766,0.029395715362706354,2,5.0180864434784514e-42,2.8153695497245377e-06,0.9999967387499596,4.4588048176236747e-07,0,0.866505099123192,0.010735100207270533,0.12273863311010311,2.116755943441074e-05
1962-11-01,1,0.24999998951513142,0.2500000078910875,0.25000000048456156,0.2500000021092196,2,0.026592408501793518,0.30253759588847123,0.36008374233272084,0.3107862532770144,2,0.2818428222497113,0.3177738847916265,0.3730025538654692,0.027380739093192958,3,3.195072812216227e-48,5.725492301514275e-15,1.1360545709121744e-09,0.9999999988639416,0,0.8936009995937585,0.006623029029042612,0.09976957427546139,6.3971017372284016e-06
1962-12-01,1,0.24999999854315783,0.25000000110488174,0.25000000003474454,0.25000000031721586,2,0.026565614297506278,0.30077805335805213,0.3389267140556362,0.3337296182888054,2,0.3259383645709876,0.3033497825541724,0.3437330070896458,0.026978845785194067,3,3.898524339712935e-49,3.659984305887434e-11,2.418356641917244e-06,0.9999975816067601,0,0.8985496998978322,0.013897611482718333,0.0874678737397411,8.481487970811052e-05
1963-01-01,1,0.24999999077028742,0.2500000069359407,0.2500000004298313,0.25000000186394056,2,0.025830368532754954,0.311013503624403,0.35586457697524165,0.30729155086760046,2,0.2766015615932674,0.3280925253392424,0.3687929883606999,0.026512924706790276,3,3.08629729020519e-46,3.8202455751271687e-14,0.002177036808078932,0.9978229631918821,0,0.964016279584465,0.006383164195925952,0.029540429054648563,6.012716496038603e-05
1963-02-01,1,0.24999998409227006,0.25000001193512866,0.2500000006572532,0.25000000331534805,2,0.024626697936197584,0.29940812657494525,0.3727778719323014,0.30318730355655577,2,0.2792536889925512,0.3120212529342309,0.38334210943466923,0.02538294863854867,3,1.0344610206893508e-51,6.908170240168844e-21,3.2316768413925146e-11,0.9999999999676845,0,0.9820692753038655,0.0029447147566217446,0.014972211414908522,1.379852460428849e-05
1963-03-01,1,0.24999997494336668,0.25000001880503275,0.25000000101003667,0.2500000052415639,2,0.02091102590376178,0.28345924885905477,0.3969902538648182,0.29863947137236524,2,0.27391258421301873,0.296193484542254,0.4081835559169668,0.02171037532776042,3,4.3504466964829915e-59,1.4887469475272138e-23,5.009221443306365e-07,0.9999994990778565,0,0.9889036648199511,0.0025521302157714837,0.008524495786112661,1.9709178164739683e-05
1963-04-01,1,0.2499999782797962,0.2500000163011541,0.25000000089743074,0.2500000045216191,2,0.02660374722372013,0.2919544291702222,0.3867682381512626,0.29467358545479505,2,0.2720242096143444,0.30449639129827416,0.3959981909126608,0.027481208174720512,3,9.310654011134329e-56,1.5399894548537732e-30,4.7788035292737054e-30,1.0,0,0.9959801708043989,0.0008812465482484234,0.0031349581011886054,3.624546163783081e-06
1963-05-01,1,0.24999998337868992,0.2500000124942374,0.2500000007256578,0.250000003401415,2,0.026573088147597155,0.2943595262136126,0.3715100610191779,0.3075573246196124,2,0.2788284460643182,0.3091577256825306,0.3845896609799386,0.027424167273212566,3,5.493808620055446e-49,2.8327516387400205e-17,4.640999848961868e-16,1.0,0,0.9960952939289929,0.0006287802941285542,0.003275556321109509,3.6945576874741973e-07
1963-06-01,1,0.2499999823891298,0.25000001323365734,0.25000000076927803,0.25000000360793484,2,0.022741154159383756,0.29385357522058053,0.3803265678814092,0.3030787027386264,2,0.27140771702547456,0.3116480856274079,0.3933763509906718,0.0235678463564458,3,1.183688017180388e-56,1.2414611733728205e-20,1.565882163396604e-05,0.9999843411783651,0,0.9956081165548156,0.0008034816874030467,0.003587938486543652,4.632712373458826e-07
1963-07-01,1,0.24999998595177017,0.25000001055431753,0.25000000056524957,0.2500000029286627,2,0.022445380310871184,0.29174013270225707,0.36905949050861375,0.31675499647825783,2,0.2914886158816976,0.30425465050183786,0.3810541850989116,0.023202548517552875,3,5.146640108991363e-56,1.7704852015727091e-19,1.6072823594773354e-13,0.9999999999998437,0,0.9958964942777281,0.000930934087172385,0.0031715832601378947,9.88374961752951e-07
1963-08-01,1,0.2499999854231878,0.2500000109562792,0.25000000059022304,0.25000000303030995,2,0.024940007837607907,0.2902484904376218,0.36522678364294797,0.31958471808182226,2,0.29520386972059054,0.3015292875433168,0.37760509139071496,0.0256617513453777,3,9.496131251461775e-55,8.447577238627437e-21,7.745058326739772e-19,1.0,0,0.9967546859276,0.0010054068140467052,0.002238454345978011,1.452912375368536e-06
1963-09-01,1,0.249999981803983,0.25000001365850927,0.25000000072089695,0.2500000038166108,2,0.027215398999436945,0.28771524449738684,0.37592613844694633,0.3091432180562299,2,0.29079358554944323,0.296515660859612,0.38464666999703656,0.02804408359390816,3,1.021828458421443e-55,1.4697204038756625e-24,7.737918416214577e-18,1.0,0,0.9971411042148981,0.0014203476296424263,0.0014353742010190043,3.1739544406211576e-06
1963-10-01,1,0.24999996464540256,0.2500000265711689,0.25000000152929913,0.2500000072541295,2,0.023262995621873797,0.2698975359981116,0.41613776355396603,0.29070170482604857,2,0.2542307577007002,0.28959449922716535,0.43199775827836145,0.02417698479377314,3,2.5877849557213755e-60,2.3667621275026444e-30,8.743834966009493e-18,1.0,0,0.9977824615411556,0.0014254079831450756,0.0007919267345255059,2.037411737772606e-07
1963-11-01,1,0.24999998962744824,0.2500000078099559,0.2500000004177626,0.25000000214483326,2,0.022782930584762242,0.28440760678109545,0.3628711013819784,0.3299383612521641,2,0.307429126771008,0.2959400484372685,0.3731309084961791,0.023499916295544584,3,4.5126307605624957e-54,4.7134182448216335e-14,6.726275925441148e-08,0.9999999327371989,0,0.9900190900965055,0.005857292954979578,0.004122894094065658,7.228544492864166e-07
1963-12-01,1,0.2499999853395803,0.25000001101537267,0.25000000063497413,0.25000000301007286,2,0.024499877038798933,0.29904997047796994,0.3709895287921958,0.3054606236910354,2,0.28001089186530265,0.3123499509873597,0.3823731409115667,0.02526601623577087,3,3.236647324096705e-53,1.3559950276020297e-20,1.135718464815349e-11,0.9999999999886455,0,0.9957025629413112,0.0024227830369247146,0.0018701668561273926,4.4871656368557585e-06
1964-01-01,1,0.2499999862727867,0.2500000103074148,0.2500000005624894,0.2500000028573091,2,0.030473516631367617,0.2967779638464565,0.3611294013270399,0.31161911819513605,2,0.292436173528736,0.30668614456521653,0.36966927066021316,0.031208411245834403,3,1.2935088418203505e-46,3.1833850467382047e-23,1.2212506662311125e-29,1.0,0,0.9980269990762858,0.0012142274333242695,0.0007568709085501443,1.9025818397860763e-06
1964-02-01,1,0.2499999765045319,0.25000001763869273,0.2500000009464828,0.25000000491029256,2,0.02611314696849406,0.2829888503804914,0.38933382180670206,0.3015641808443126,2,0.28079335165908587,0.29375381374566445,0.39844051756154764,0.027012317033702063,3,2.4323374524080464e-53,2.0461305271345317e-28,2.0293584116156345e-29,1.0,0,0.9981761932157612,0.001150536629039136,0.0006730958768699537,1.7427832981775922e-07
1964-03-01,1,0.2499999897174209,0.25000000774710945,0.25000000045291726,0.25000000208255235,2,0.022725041990296235,0.29256664883053296,0.36142327154385273,0.3232850376353181,2,0.29494325053516673,0.3063171052570443,0.37521415084032744,0.023525493367461646,3,4.147827556413728e-54,1.3359743707233946e-19,1.6930132439126786e-14,0.9999999999999858,0,0.993916704665737,0.0043290022941314095,0.00175260923188158,1.6838082503671e-06
1964-04-01,1,0.24999997992326353,0.2500000150518538,0.2500000008306178,0.2500000041942648,2,0.030288312805904213,0.30241710104863334,0.3802290217177158,0.2870655644277467,2,0.2681403094523602,0.31460850370304133,0.38608534387018223,0.03116584297441641,3,1.2043811480775114e-38,4.853592050854866e-28,1.3409413199708985e-29,1.0,0,0.9972147374334537,0.0024644840863811165,0.0003174741542740998,3.304325891391169e-06
1964-05-01,1,0.24999997838362883,0.2500000162211034,0.25000000088913044,0.25000000450613713,2,0.02275712645602887,0.2920785920132604,0.3872661364707699,0.29789814505994094,2,0.2716626793796617,0.3059392845353053,0.3988798590849664,0.023518177000066618,3,2.362846332522595e-60,6.786304618000246e-29,3.5810317496405526e-20,1.0,0,0.9959699052428662,0.0028251438845890283,0.0012049002425645041,5.062998074444579e-08
1964-06-01,1,0.24999998738051613,0.25000000949775375,0.2500000005597872,0.2500000025619428,2,0.022951228975711807,0.2937262140867879,0.3659631627300879,0.31735939420741255,2,0.2845970162004988,0.3098795643445775,0.38181484240673863,0.02370857704818503,3,2.613458361765945e-58,8.15365322273929e-21,4.769320806976669e-11,0.9999999999523084,0,0.9846930572884337,0.010242927637986192,0.005063423458968444,5.916146120634362e-07
1964-07-01,1,0.2499999742189084,0.2500000193391702,0.2500000010653569,0.25000000537656447,2,0.02419526928262067,0.2914109140311253,0.3993698078780133,0.2850240088082408,2,0.2610035882446814,0.30499576295599834,0.40896225719222085,0.025038391607099413,3,1.6144581478029e-58,1.7240834698833994e-30,1.5699748846811417e-17,1.0,0,0.9759397282458243,0.020309656464993588,0.0037500167438543866,5.985453282526913e-07
1964-08-01,1,0.24999998331851458,0.250000012521091,0.25000000067775063,0.2500000034826438,2,0.025227270580282707,0.2936268658413709,0.37549275981823843,0.3056531037601079,2,0.2833331761071545,0.30657727157174597,0.3840375751144627,0.026051977206636764,3,6.214997269136748e-53,1.879029911723676e-24,6.669254982527236e-13,0.9999999999993321,0,0.920321796462622,0.060297055468712946,0.01938079742627263,3.506423928958307e-07
1964-09-01,1,0.24999997976275945,0.2500000151948121,0.25000000086120994,0.2500000041812186,2,0.02465082995249447,0.2948808079367137,0.3830102432259323,0.2974581188848596,2,0.26754811969187714,0.31161339055519216,0.39532193778131125,0.02551655197161951,3,5.938413201971299e-54,2.9323832323450758e-24,8.254576301350698e-22,1.0,0,0.8009193928003853,0.18028944461556487,0.01875914866238836,3.201392166203535e-05
1964-10-01,0,0.25000000603530464,0.2499999954836471,0.24999999974282,0.2499999987382284,3,0.0412222855945284,0.30954147600535464,0.30942603637211175,0.3398102020280052,0,0.3410876971929756,0.30871734515104515,0.30907110909073054,0.04112384856524869,1,1.1899285560092569e-15,1.0,5.3417702150921444e-83,3.8395380267643835e-26,1,0.0008051565033256664,0.9929664580432485,0.005583260048082354,0.0006451254053436303
1964-11-01,1,0.2499999870511399,0.25000000970571684,0.25000000054193106,0.2500000027012122,2,0.042240975838568715,0.311111974572152,0.35459829892864836,0.29204875066063096,2,0.2769584625951308,0.31980312959017027,0.3601792426968564,0.04305916511784253,0,0.9999999999995168,1.503993105113526e-31,9.375084510562304e-106,4.893661567618615e-13,1,0.006853849070364506,0.99062049219844,9.864773894569057e-10,0.002525657744718586
1964-12-01,1,0.24999997995929188,0.25000001502786473,0.25000000083627694,0.25000000417656637,2,0.030754318568833018,0.3033449921986678,0.37717916923146,0.28872152000103923,2,0.2672414874461377,0.316342718943199,0.3848075182912617,0.03160827531940173,3,1.3305449736682877e-45,2.5135179536326226e-32,1.4522244967928265e-37,1.0,0,0.8351264479455897,0.1634060882119489,0.0014273431942041306,4.012064825719578e-05
1965-01-01,1,0.24999998164872872,0.2500000137605354,0.25000000076066736,0.25000000383006854,2,0.026511766508958434,0.303589815127623,0.37652177284185945,0.29337664552155907,2,0.2674551341316119,0.31862047170838736,0.3866203550435387,0.02730403911646197,3,4.0992804740720855e-56,8.497596375566146e-29,2.416823752585456e-16,1.0,0,0.962750249617424,0.03580875841558699,0.0014395647063163688,1.4272606727215433e-06
1965-02-01,1,0.24999999348634624,0.2500000048882263,0.25000000025113805,0.25000000137428935,2,0.027532944566293658,0.30637381987429574,0.3454990000503678,0.3205942355090427,2,0.30118963969296175,0.31418286832839815,0.35649952798946305,0.028127963989176948,3,6.136885007766792e-51,8.295717024130811e-23,8.023056350149079e-21,1.0,0,0.9829203713794078,0.015971084869336755,0.0011053749629915937,3.1687882637776134e-06
1965-03-01,1,0.24999997688089984,0.2500000173408096,0.2500000009667632,0.25000000481152734,2,0.02660131208185553,0.2979475644137162,0.3875810621693028,0.2878700613351254,2,0.2621546549323808,0.31409337753084166,0.3962650787357792,0.027486888800998227,3,6.418476229119254e-56,6.347483836186902e-33,1.9166760122429617e-22,1.0,0,0.9969856933472645,0.002836705128007243,0.0001767186235833933,8.829011450153659e-07
1965-04-01,1,0.24999998872690554,0.25000000847455006,0.2500000004846362,0.25000000231390823,2,0.025617081560065542,0.29918131148975513,0.3570744315835566,0.3181271753666227,2,0.2872895130167122,0.315182598063704,0.37111738879079426,0.02641050012878939,3,3.585744662117006e-54,1.5549522993851492e-25,7.54630327660428e-26,1.0,0,0.9976418425742302,0.001991222521639094,0.0003666236375830795,3.1126654750070084e-07
1965-05-01,1,0.24999998573740032,0.25000001070570144,0.250000000597914,0.2500000029589842,2,0.028928016408358927,0.301948244650937,0.3626525189776774,0.30647121996302656,2,0.2836350740596886,0.313590505195231,0.3730363123904961,0.02973810835458438,3,1.982538705547846e-55,3.2422979753177467e-28,1.9592668151595581e-25,1.0,0,0.999012568254347,0.0008563123607070151,0.0001308899710821776,2.2941386349119395e-07
1965-06-01,1,0.24999998677379637,0.2500000099399996,0.250000000562466,0.250000002723738,2,0.025803456475694722,0.29559448711410097,0.3609509879295996,0.31765106848060487,2,0.29025724188565233,0.3107444546302104,0.37248394007721397,0.026514363406923414,3,5.072052654659821e-54,5.039756117388816e-21,3.8370336159069067e-16,1.0,0,0.9981781619231747,0.0014920115264303608,0.0003295230790201704,3.0347137457465596e-07
1965-07-01,1,0.2499999860585908,0.2500000104475705,0.2500000005319916,0.25000000296184716,2,0.03201218707039304,0.3016684693965842,0.3611591277388601,0.3051602157941626,2,0.2925114958277531,0.3081518156850327,0.3666224209641138,0.032714267523100395,3,3.4077200691535047e-50,3.702297421323694e-26,1.2339153087872434e-29,1.0,0,0.9991616857962755,0.0007654732603945573,7.26543038781663e-05,1.8663945162515696e-07
1965-08-01,1,0.24999999251896776,0.2500000056275031,0.25000000031625,0.2500000015372791,2,0.027368074050965172,0.3026074812418654,0.34729335903059333,0.3227310856765761,2,0.299468548063522,0.31334172783137526,0.3591202251981596,0.028069498906943196,3,3.7007499109187514e-56,7.720345333343767e-21,6.574163565079042e-20,1.0,0,0.9980541423222103,0.0014801276160026152,0.00046564094751428586,8.911427273657928e-08
1965-09-01,1,0.2499999835449284,0.2500000123607158,0.2500000007179618,0.25000000337639394,2,0.02675399352615706,0.2997816102917921,0.3691126547266583,0.30435174145539257,2,0.27434414496491266,0.3156755917229393,0.382422601182966,0.027557662129181964,3,1.1923602415330713e-43,2.4083476181492874e-23,4.2867443650303354e-14,0.9999999999999432,0,0.9980551018922004,0.0017623582511216709,0.00018062329647379352,1.9165602043768895e-06
1965-10-01,1,0.24999997442968067,0.2500000191841932,0.2500000010648573,0.250000005321269,2,0.025518662967919346,0.29219706298823245,0.39463301080867985,0.2876512632351682,2,0.2598299128811943,0.30795825886846345,0.40584244000042646,0.026369388249915873,3,6.251851173440045e-57,1.2336547208515807e-32,1.5404958656066287e-18,1.0,0,0.9985718303759404,0.0014056804289551703,2.2044277297825247e-05,4.449178068388141e-07
1965-11-01,1,0.24999997850839248,0.2500000161279916,0.25000000089316404,0.2500000044704518,2,0.025439331129068037,0.2953427089174665,0.38189968554716935,0.297318274406296,2,0.26949259147317833,0.310003063453899,0.39421970196068773,0.026284643112234805,3,3.8646666503053836e-56,5.943426759133286e-28,9.31346110529935e-16,1.0,0,0.9980748650819403,0.001817535203210337,0.00010745028802560785,1.494268240372339e-07
1965-12-01,1,0.2499999729649733,0.2500000202960252,0.2500000011504042,0.25000000558859714,2,0.027054502555513546,0.28931491624388556,0.39324162810424745,0.2903889530963534,2,0.25823539569907417,0.3064165497807178,0.40738807445458664,0.027959980065621483,3,3.374985436598613e-55,6.982745231264243e-31,5.575017218046998e-34,1.0,0,0.9986734856754614,0.001310139385434027,1.6103831223751134e-05,2.7110788121906055e-07
1966-01-01,1,0.24999998508345156,0.2500000111765123,0.25000000058694277,0.25000000315309334,2,0.029906520942876897,0.3058541899290503,0.366534469047513,0.2977048200805597,2,0.2814076327295975,0.3151635367641074,0.37274978343008497,0.03067904707620996,3,2.1534703930494752e-55,1.0088232809803802e-27,1.6713007086955482e-19,1.0,0,0.9987390994351857,0.0011082071952436853,0.00015266791099778377,2.5458573330867093e-08
1966-02-01,1,0.2499999886459472,0.2500000085270245,0.25000000051623006,0.25000000231079833,2,0.030515951842078087,0.3116961958626573,0.3541691802775981,0.30361867201766657,2,0.2741438262106698,0.32891284786351727,0.36562331343568905,0.03132001249012383,3,2.6983281598599913e-48,6.401446409319488e-21,1.8592490343860168e-20,1.0,0,0.9977585771618271,0.001901383988111339,0.0003395728628733811,4.6598718838172627e-07
1966-03-01,1,0.24999998223634265,0.25000001331306665,0.25000000070363493,0.25000000374695575,2,0.031468318170844514,0.30198265005738256,0.36962078855000985,0.2969282432217629,2,0.2804789487533479,0.31142885350115845,0.3758500943930011,0.03224210335249256,3,2.2118795514522766e-50,5.297181842937259e-29,1.323525724779115e-42,1.0,0,0.9978059678175003,0.0016278519287249442,0.0005660718117069347,1.0844206794608346e-07
